位階排名,牌型,牌面,花色變體數,位置起(1-based),位置訖,千萬位percentile,位階名次%
328,亂,Q10742亂,1020,333541,334560,1283363.35,4.3956
329,亂,Q10743亂,1020,334561,335580,1287287.99,4.409
330,亂,Q10752亂,1020,335581,336600,1291212.64,4.4224
331,亂,Q10753亂,1020,336601,337620,1295137.29,4.4358
332,亂,Q10754亂,1020,337621,338640,1299061.93,4.4492
333,亂,Q10762亂,1020,338641,339660,1302986.58,4.4626
334,亂,Q10763亂,1020,339661,340680,1306911.23,4.476
335,亂,Q10764亂,1020,340681,341700,1310835.87,4.4894
336,亂,Q10765亂,1020,341701,342720,1314760.52,4.5028
337,亂,Q10832亂,1020,342721,343740,1318685.17,4.5162
338,亂,Q10842亂,1020,343741,344760,1322609.81,4.5296
339,亂,Q10843亂,1020,344761,345780,1326534.46,4.543
340,亂,Q10852亂,1020,345781,346800,1330459.11,4.5564
341,亂,Q10853亂,1020,346801,347820,1334383.75,4.5698
342,亂,Q10854亂,1020,347821,348840,1338308.4,4.5832
343,亂,Q10862亂,1020,348841,349860,1342233.05,4.5966
344,亂,Q10863亂,1020,349861,350880,1346157.69,4.61
345,亂,Q10864亂,1020,350881,351900,1350082.34,4.6234
346,亂,Q10865亂,1020,351901,352920,1354006.99,4.6368
347,亂,Q10872亂,1020,352921,353940,1357931.63,4.6502
348,亂,Q10873亂,1020,353941,354960,1361856.28,4.6636
349,亂,Q10874亂,1020,354961,355980,1365780.93,4.677
350,亂,Q10875亂,1020,355981,357000,1369705.57,4.6904
351,亂,Q10876亂,1020,357001,358020,1373630.22,4.7038
352,亂,Q10932亂,1020,358021,359040,1377554.87,4.7172
353,亂,Q10942亂,1020,359041,360060,1381479.51,4.7306
354,亂,Q10943亂,1020,360061,361080,1385404.16,4.744
355,亂,Q10952亂,1020,361081,362100,1389328.81,4.7574
356,亂,Q10953亂,1020,362101,363120,1393253.46,4.7708
357,亂,Q10954亂,1020,363121,364140,1397178.1,4.7842
358,亂,Q10962亂,1020,364141,365160,1401102.75,4.7976
359,亂,Q10963亂,1020,365161,366180,1405027.4,4.811
360,亂,Q10964亂,1020,366181,367200,1408952.04,4.8244
361,亂,Q10965亂,1020,367201,368220,1412876.69,4.8378
362,亂,Q10972亂,1020,368221,369240,1416801.34,4.8512
363,亂,Q10973亂,1020,369241,370260,1420725.98,4.8646
364,亂,Q10974亂,1020,370261,371280,1424650.63,4.878
365,亂,Q10975亂,1020,371281,372300,1428575.28,4.8915
366,亂,Q10976亂,1020,372301,373320,1432499.92,4.9049
367,亂,Q10982亂,1020,373321,374340,1436424.57,4.9183
368,亂,Q10983亂,1020,374341,375360,1440349.22,4.9317
369,亂,Q10984亂,1020,375361,376380,1444273.86,4.9451
370,亂,Q10985亂,1020,376381,377400,1448198.51,4.9585
371,亂,Q10986亂,1020,377401,378420,1452123.16,4.9719
372,亂,Q10987亂,1020,378421,379440,1456047.8,4.9853
373,亂,QJ432亂,1020,379441,380460,1459972.45,4.9987
374,亂,QJ532亂,1020,380461,381480,1463897.1,5.0121
375,亂,QJ542亂,1020,381481,382500,1467821.74,5.0255
376,亂,QJ543亂,1020,382501,383520,1471746.39,5.0389
377,亂,QJ632亂,1020,383521,384540,1475671.04,5.0523
378,亂,QJ642亂,1020,384541,385560,1479595.68,5.0657
379,亂,QJ643亂,1020,385561,386580,1483520.33,5.0791
380,亂,QJ652亂,1020,386581,387600,1487444.98,5.0925
381,亂,QJ653亂,1020,387601,388620,1491369.62,5.1059
382,亂,QJ654亂,1020,388621,389640,1495294.27,5.1193
383,亂,QJ732亂,1020,389641,390660,1499218.92,5.1327
384,亂,QJ742亂,1020,390661,391680,1503143.57,5.1461
385,亂,QJ743亂,1020,391681,392700,1507068.21,5.1595
386,亂,QJ752亂,1020,392701,393720,1510992.86,5.1729
387,亂,QJ753亂,1020,393721,394740,1514917.51,5.1863
388,亂,QJ754亂,1020,394741,395760,1518842.15,5.1997
389,亂,QJ762亂,1020,395761,396780,1522766.8,5.2131
390,亂,QJ763亂,1020,396781,397800,1526691.45,5.2265
391,亂,QJ764亂,1020,397801,398820,1530616.09,5.2399
392,亂,QJ765亂,1020,398821,399840,1534540.74,5.2533
393,亂,QJ832亂,1020,399841,400860,1538465.39,5.2667
394,亂,QJ842亂,1020,400861,401880,1542390.03,5.2801
395,亂,QJ843亂,1020,401881,402900,1546314.68,5.2935
396,亂,QJ852亂,1020,402901,403920,1550239.33,5.3069
397,亂,QJ853亂,1020,403921,404940,1554163.97,5.3203
398,亂,QJ854亂,1020,404941,405960,1558088.62,5.3337
399,亂,QJ862亂,1020,405961,406980,1562013.27,5.3471
400,亂,QJ863亂,1020,406981,408000,1565937.91,5.3605
401,亂,QJ864亂,1020,408001,409020,1569862.56,5.3739
402,亂,QJ865亂,1020,409021,410040,1573787.21,5.3873
403,亂,QJ872亂,1020,410041,411060,1577711.85,5.4007
404,亂,QJ873亂,1020,411061,412080,1581636.5,5.4141
405,亂,QJ874亂,1020,412081,413100,1585561.15,5.4275
406,亂,QJ875亂,1020,413101,414120,1589485.79,5.4409
407,亂,QJ876亂,1020,414121,415140,1593410.44,5.4543
408,亂,QJ932亂,1020,415141,416160,1597335.09,5.4677
409,亂,QJ942亂,1020,416161,417180,1601259.73,5.4811
410,亂,QJ943亂,1020,417181,418200,1605184.38,5.4945
411,亂,QJ952亂,1020,418201,419220,1609109.03,5.5079
412,亂,QJ953亂,1020,419221,420240,1613033.68,5.5213
413,亂,QJ954亂,1020,420241,421260,1616958.32,5.5347
414,亂,QJ962亂,1020,421261,422280,1620882.97,5.5481
415,亂,QJ963亂,1020,422281,423300,1624807.62,5.5615
416,亂,QJ964亂,1020,423301,424320,1628732.26,5.5749
417,亂,QJ965亂,1020,424321,425340,1632656.91,5.5883
418,亂,QJ972亂,1020,425341,426360,1636581.56,5.6017
419,亂,QJ973亂,1020,426361,427380,1640506.2,5.6151
420,亂,QJ974亂,1020,427381,428400,1644430.85,5.6285
421,亂,QJ975亂,1020,428401,429420,1648355.5,5.6419
422,亂,QJ976亂,1020,429421,430440,1652280.14,5.6553
423,亂,QJ982亂,1020,430441,431460,1656204.79,5.6687
424,亂,QJ983亂,1020,431461,432480,1660129.44,5.6821
425,亂,QJ984亂,1020,432481,433500,1664054.08,5.6955
426,亂,QJ985亂,1020,433501,434520,1667978.73,5.7089
427,亂,QJ986亂,1020,434521,435540,1671903.38,5.7223
428,亂,QJ987亂,1020,435541,436560,1675828.02,5.7357
429,亂,QJ1032亂,1020,436561,437580,1679752.67,5.7491
430,亂,QJ1042亂,1020,437581,438600,1683677.32,5.7625
431,亂,QJ1043亂,1020,438601,439620,1687601.96,5.7759
432,亂,QJ1052亂,1020,439621,440640,1691526.61,5.7893
433,亂,QJ1053亂,1020,440641,441660,1695451.26,5.8027
434,亂,QJ1054亂,1020,441661,442680,1699375.9,5.8161
435,亂,QJ1062亂,1020,442681,443700,1703300.55,5.8295
436,亂,QJ1063亂,1020,443701,444720,1707225.2,5.8429
437,亂,QJ1064亂,1020,444721,445740,1711149.84,5.8563
438,亂,QJ1065亂,1020,445741,446760,1715074.49,5.8697
439,亂,QJ1072亂,1020,446761,447780,1718999.14,5.8831
440,亂,QJ1073亂,1020,447781,448800,1722923.78,5.8965
441,亂,QJ1074亂,1020,448801,449820,1726848.43,5.9099
442,亂,QJ1075亂,1020,449821,450840,1730773.08,5.9233
443,亂,QJ1076亂,1020,450841,451860,1734697.73,5.9367
444,亂,QJ1082亂,1020,451861,452880,1738622.37,5.9501
445,亂,QJ1083亂,1020,452881,453900,1742547.02,5.9635
446,亂,QJ1084亂,1020,453901,454920,1746471.67,5.9769
447,亂,QJ1085亂,1020,454921,455940,1750396.31,5.9904
448,亂,QJ1086亂,1020,455941,456960,1754320.96,6.0038
449,亂,QJ1087亂,1020,456961,457980,1758245.61,6.0172
450,亂,QJ1092亂,1020,457981,459000,1762170.25,6.0306
451,亂,QJ1093亂,1020,459001,460020,1766094.9,6.044
452,亂,QJ1094亂,1020,460021,461040,1770019.55,6.0574
453,亂,QJ1095亂,1020,461041,462060,1773944.19,6.0708
