位階排名,牌型,牌面,花色變體數,位置起(1-based),位置訖,千萬位percentile,位階名次%
182,一對,66+A93,384,69505,69888,725143.45,3.4307
183,一對,66+A94,384,69889,70272,729149.71,3.4496
184,一對,66+A95,384,70273,70656,733155.97,3.4684
185,一對,66+A97,384,70657,71040,737162.23,3.4873
186,一對,66+A98,384,71041,71424,741168.49,3.5061
187,一對,66+A102,384,71425,71808,745174.75,3.525
188,一對,66+A103,384,71809,72192,749181.01,3.5438
189,一對,66+A104,384,72193,72576,753187.27,3.5627
190,一對,66+A105,384,72577,72960,757193.53,3.5815
191,一對,66+A107,384,72961,73344,761199.79,3.6004
192,一對,66+A108,384,73345,73728,765206.05,3.6192
193,一對,66+A109,384,73729,74112,769212.31,3.6381
194,一對,66+AJ2,384,74113,74496,773218.57,3.6569
195,一對,66+AJ3,384,74497,74880,777224.83,3.6758
196,一對,66+AJ4,384,74881,75264,781231.09,3.6946
197,一對,66+AJ5,384,75265,75648,785237.35,3.7135
198,一對,66+AJ7,384,75649,76032,789243.61,3.7323
199,一對,66+AJ8,384,76033,76416,793249.87,3.7512
200,一對,66+AJ9,384,76417,76800,797256.13,3.77
201,一對,66+AJ10,384,76801,77184,801262.39,3.7889
202,一對,66+AQ2,384,77185,77568,805268.65,3.8077
203,一對,66+AQ3,384,77569,77952,809274.91,3.8266
204,一對,66+AQ4,384,77953,78336,813281.17,3.8454
205,一對,66+AQ5,384,78337,78720,817287.43,3.8643
206,一對,66+AQ7,384,78721,79104,821293.69,3.8831
207,一對,66+AQ8,384,79105,79488,825299.95,3.902
208,一對,66+AQ9,384,79489,79872,829306.21,3.9208
209,一對,66+AQ10,384,79873,80256,833312.47,3.9397
210,一對,66+AQJ,384,80257,80640,837318.73,3.9585
211,一對,66+AK2,384,80641,81024,841324.99,3.9774
212,一對,66+AK3,384,81025,81408,845331.25,3.9962
213,一對,66+AK4,384,81409,81792,849337.51,4.0151
214,一對,66+AK5,384,81793,82176,853343.77,4.0339
215,一對,66+AK7,384,82177,82560,857350.03,4.0528
216,一對,66+AK8,384,82561,82944,861356.29,4.0716
217,一對,66+AK9,384,82945,83328,865362.55,4.0905
218,一對,66+AK10,384,83329,83712,869368.81,4.1093
219,一對,66+AKJ,384,83713,84096,873375.07,4.1282
220,一對,66+AKQ,384,84097,84480,877381.32,4.147
221,一對,77+432,384,84481,84864,881387.58,4.1659
